Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,3.680000,3.690000,3.650000,3.660000,2.496178,7280000
2014-01-03,3.650000,3.660000,3.590000,3.600000,2.455256,13827000
2014-01-06,3.590000,3.590000,3.520000,3.540000,2.414336,20800000
2014-01-07,3.540000,3.570000,3.530000,3.540000,2.414336,22746000
2014-01-08,3.560000,3.570000,3.540000,3.550000,2.421156,14599000
2014-01-09,3.560000,3.570000,3.540000,3.560000,2.427976,13856000
2014-01-10,3.560000,3.580000,3.550000,3.560000,2.427976,7914000
2014-01-13,3.570000,3.580000,3.550000,3.550000,2.421156,10792000
2014-01-14,3.530000,3.530000,3.500000,3.510000,2.393875,20907000
2014-01-15,3.530000,3.540000,3.510000,3.520000,2.400696,19933000
2014-01-16,3.530000,3.540000,3.500000,3.520000,2.400696,21876000
2014-01-17,3.500000,3.530000,3.480000,3.520000,2.400696,26146000
2014-01-20,3.500000,3.510000,3.480000,3.490000,2.380235,9658000
2014-01-21,3.500000,3.540000,3.490000,3.520000,2.400696,12773000
2014-01-22,3.510000,3.540000,3.500000,3.540000,2.414336,13056000
2014-01-23,3.540000,3.550000,3.500000,3.500000,2.387055,20925000
2014-01-24,3.510000,3.550000,3.500000,3.520000,2.400696,21704000
2014-01-27,3.490000,3.510000,3.460000,3.500000,2.387055,35325000
2014-01-28,3.480000,3.550000,3.480000,3.550000,2.421156,27474000
2014-01-29,3.550000,3.560000,3.500000,3.540000,2.414336,21282000
2014-01-30,3.520000,3.530000,3.500000,3.530000,2.407515,20426000
2014-02-03,3.530000,3.540000,3.480000,3.490000,2.380235,21681000
2014-02-04,3.470000,3.470000,3.450000,3.460000,2.359774,20258000
2014-02-05,3.470000,3.480000,3.420000,3.440000,2.346134,27906000
2014-02-06,3.450000,3.490000,3.450000,3.480000,2.373415,21749000
2014-02-07,3.510000,3.540000,3.490000,3.510000,2.393875,24024000
2014-02-10,3.530000,3.530000,3.480000,3.520000,2.400696,17005000
2014-02-11,3.520000,3.540000,3.510000,3.520000,2.400696,9238000
2014-02-12,3.550000,3.550000,3.510000,3.510000,2.393875,11170000
2014-02-13,3.530000,3.590000,3.530000,3.570000,2.434796,27150000
2014-02-14,3.590000,3.600000,3.550000,3.580000,2.441616,25516000
2014-02-17,3.630000,3.630000,3.580000,3.590000,2.448436,15107000
2014-02-18,3.580000,3.590000,3.550000,3.570000,2.434796,15372000
2014-02-19,3.570000,3.600000,3.550000,3.590000,2.448436,20554000
2014-02-20,3.590000,3.610000,3.580000,3.580000,2.441616,17182000
2014-02-21,3.620000,3.640000,3.590000,3.600000,2.455256,11462000
2014-02-24,3.630000,3.640000,3.610000,3.640000,2.482537,14251000
2014-02-25,3.650000,3.660000,3.630000,3.650000,2.489357,12673000
2014-02-26,3.640000,3.650000,3.620000,3.640000,2.482537,13463000
2014-02-27,3.630000,3.660000,3.630000,3.650000,2.489357,11752000
2014-02-28,3.610000,3.620000,3.580000,3.600000,2.455256,27560000
2014-03-03,3.570000,3.570000,3.540000,3.560000,2.427976,15176000
2014-03-04,3.550000,3.600000,3.550000,3.580000,2.441616,12839000
2014-03-05,3.600000,3.600000,3.540000,3.560000,2.427976,14212000
2014-03-06,3.580000,3.630000,3.580000,3.610000,2.462077,17486000
2014-03-07,3.610000,3.630000,3.600000,3.620000,2.468897,6808000
2014-03-10,3.610000,3.630000,3.590000,3.610000,2.462077,6076000
2014-03-11,3.610000,3.650000,3.590000,3.600000,2.455256,8304000
2014-03-12,3.570000,3.600000,3.550000,3.570000,2.434796,14785000
2014-03-13,3.570000,3.580000,3.550000,3.550000,2.421156,12863000
2014-03-14,3.520000,3.530000,3.510000,3.520000,2.400696,12632000
2014-03-17,3.520000,3.540000,3.510000,3.540000,2.414336,9193000
2014-03-18,3.580000,3.580000,3.500000,3.520000,2.400696,14871000
2014-03-19,3.520000,3.530000,3.500000,3.520000,2.400696,16392000
2014-03-20,3.500000,3.540000,3.490000,3.500000,2.387055,20628000
2014-03-21,3.510000,3.540000,3.490000,3.520000,2.400696,22962000
2014-03-24,3.530000,3.600000,3.530000,3.560000,2.427976,21303000
2014-03-25,3.550000,3.580000,3.530000,3.570000,2.434796,11083000
2014-03-26,3.600000,3.630000,3.580000,3.610000,2.462077,18792000
